status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
.greater than 200;36;no credits taken/all credits paid back duly;others;909;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;car or other;36;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;car (used);1258;unknown/no savings account;less than 1 yr;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;22;none;for free;2.Mar;unskilled - resident;0 to 2;no;no;1
.greater than 200;15;critical account/other credits elsewhere;furniture/equipment;1569;less than 100;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;34;bank;rent;1;unskilled - resident;3 or more;no;no;1
.greater than 200;6;no credits taken/all credits paid back duly;car (new);1236;from 100 to 500;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;50;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;36;existing credits paid back duly till now;car (used);7678;from 100 to 500;from 4 to 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;40;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;6;no credits taken/all credits paid back duly;domestic appliances;660;from 100 to 500;from 4 to 7 yrs;from 35 to 25;female : single;none;greater than 7 yrs;unknown / no property;23;none;for free;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (used);2835;from 100 to 500;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;car or other;53;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (new);2670;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;35;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;12;critical account/other credits elsewhere;vacation;3447;from 100 to 500;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;unknown / no property;35;none;rent;1;unskilled - resident;3 or more;no;no;1
.greater than 200;15;no credits taken/all credits paid back duly;furniture/equipment;3568;unknown/no savings account;greater than 7 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;54;bank;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;21;all credits at this bank paid back duly;retraining;3652;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;car or other;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;24;no credits taken/all credits paid back duly;furniture/equipment;3660;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;9;no credits taken/all credits paid back duly;furniture/equipment;1126;less than 100;greater than 7 yrs;from 35 to 25;male : divorced/separated;none;greater than 7 yrs;unknown / no property;49;none;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;6;existing credits paid back duly till now;furniture/equipment;683;unknown/no savings account;less than 1 yr;from 35 to 25;female : non-single or male : single;none;less than 1 yr;car or other;29;bank;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;12;no credits taken/all credits paid back duly;car (used);2251;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;46;none;rent;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;car (new);4675;greater than 1000;less than 1 yr;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;20;none;for free;1;skilled employee/official;0 to 2;no;no;1
less than 0;21;existing credits paid back duly till now;others;2353;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : divorced/separated;none;greater than 7 yrs;car or other;47;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;21;no credits taken/all credits paid back duly;furniture/equipment;3357;from 500 to 1000;less than 1 yr;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;29;bank;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;no credits taken/all credits paid back duly;others;672;unknown/no savings account;unemployed;greater than 35;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;54;none;rent;1;unemployed/unskilled - non-resident;0 to 2;yes (under customer name);no;1
no checking account;6;all credits at this bank paid back duly;furniture/equipment;338;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;52;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;9;no credits taken/all credits paid back duly;furniture/equipment;2697;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;32;none;rent;1;skilled employee/official;3 or more;no;no;1
.greater than 200;9;no credits taken/all credits paid back duly;others;2507;from 100 to 500;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;51;none;own;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;15;existing credits paid back duly till now;furniture/equipment;1478;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;none;from 4 to 7 yrs;unknown / no property;33;bank;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;repairs;3565;greater than 1000;less than 1 yr;from 35 to 25;male : married/widowed;none;less than 1 yr;car or other;37;none;rent;2.Mar;unskilled - resident;3 or more;no;no;1
.greater than 200;15;no credits taken/all credits paid back duly;car (used);2221;from 100 to 500;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;20;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;all credits at this bank paid back duly;furniture/equipment;1898;greater than 1000;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;34;none;rent;2.Mar;unskilled - resident;3 or more;no;no;1
less than 0;6;existing credits paid back duly till now;retraining;1449;less than 100;greater than 7 yrs;greater than 35;male : divorced/separated;none;from 1 to 4 yrs;building soc. savings agr./life insurance;31;bank;rent;2.Mar;skilled employee/official;3 or more;no;no;1
.greater than 200;15;existing credits paid back duly till now;car (used);960;from 500 to 1000;from 4 to 7 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;30;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;36;no credits taken/all credits paid back duly;car (new);8133;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;car or other;30;bank;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;9;no credits taken/all credits paid back duly;car (used);2301;less than 100;less than 1 yr;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;22;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;existing credits paid back duly till now;retraining;1743;less than 100;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;34;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
less than 0;12;no credits taken/all credits paid back duly;car (used);983;from 500 to 1000;less than 1 yr;greater than 35;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;19;none;for free;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;18;existing credits paid back duly till now;furniture/equipment;2320;unknown/no savings account;unemployed;from 35 to 25;female : single;none;from 4 to 7 yrs;unknown / no property;34;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;12;critical account/other credits elsewhere;vacation;339;unknown/no savings account;greater than 7 yrs;less than 20;female : single;none;less than 1 yr;building soc. savings agr./life insurance;45;bank;rent;1;unskilled - resident;0 to 2;no;no;1
from 0 to 200;24;no credits taken/all credits paid back duly;furniture/equipment;5152;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;25;bank;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;24;no credits taken/all credits paid back duly;car (used);3749;unknown/no savings account;less than 1 yr;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;9;all credits at this bank paid back duly;furniture/equipment;3074;greater than 1000;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;33;none;rent;2.Mar;skilled employee/official;3 or more;no;no;1
from 0 to 200;9;no credits taken/all credits paid back duly;furniture/equipment;745;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;28;none;rent;1;unskilled - resident;0 to 2;no;no;0
.greater than 200;24;no credits taken/all credits paid back duly;others;1469;less than 100;greater than 7 yrs;less than 20;female : single;none;greater than 7 yrs;unknown / no property;41;none;for free;1;unskilled - resident;0 to 2;no;no;1
no checking account;6;no credits taken/all credits paid back duly;car (used);1374;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;36;bank;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;1
.greater than 200;6;critical account/other credits elsewhere;others;783;greater than 1000;from 1 to 4 yrs;greater than 35;male : married/widowed;guarantor;from 1 to 4 yrs;unknown / no property;26;stores;rent;1;unskilled - resident;3 or more;no;no;1
no checking account;21;no credits taken/all credits paid back duly;furniture/equipment;2606;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;greater than 7 yrs;car or other;28;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;54;delay in paying off in the past;car (new);9436;greater than 1000;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;car or other;39;none;rent;1;unskilled - resident;3 or more;no;no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;930;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;65;none;rent;greater than 6;skilled employee/official;0 to 2;no;no;1
.greater than 200;48;all credits at this bank paid back duly;car (new);2751;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;38;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;6;all credits at this bank paid back duly;others;250;from 500 to 1000;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;41;bank;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
less than 0;24;no credits taken/all credits paid back duly;others;1201;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;less than 1 yr;car or other;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
no checking account;6;no credits taken/all credits paid back duly;others;662;unknown/no savings account;less than 1 yr;from 25 to 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;41;none;rent;1;unskilled - resident;3 or more;yes (under customer name);no;1
.greater than 200;15;no credits taken/all credits paid back duly;car (new);1300;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;45;bank;own;1;skilled employee/official;3 or more;no;no;1
.greater than 200;24;critical account/other credits elsewhere;retraining;1559;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;40;bank;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
from 0 to 200;12;no credits taken/all credits paid back duly;furniture/equipment;3016;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : single;none;less than 1 yr;building soc. savings agr./life insurance;24;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;15;all credits at this bank paid back duly;furniture/equipment;1360;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;31;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;delay in paying off in the past;others;1204;less than 100;from 1 to 4 yrs;less than 20;male : married/widowed;none;less than 1 yr;real estate;35;bank;for free;1;skilled employee/official;0 to 2;no;yes;1
.greater than 200;10;no credits taken/all credits paid back duly;others;1597;from 100 to 500;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;real estate;40;none;for free;1;unskilled - resident;3 or more;no;yes;1
.greater than 200;12;no credits taken/all credits paid back duly;furniture/equipment;2073;less than 100;from 1 to 4 yrs;less than 20;female : non-single or male : single;co-applicant;from 1 to 4 yrs;unknown / no property;28;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;11;no credits taken/all credits paid back duly;retraining;2142;from 500 to 1000;greater than 7 yrs;greater than 35;male : divorced/separated;none;from 1 to 4 yrs;unknown / no property;28;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;10;all credits at this bank paid back duly;car (used);2132;greater than 1000;less than 1 yr;from 35 to 25;female : non-single or male : single;co-applicant;from 4 to 7 yrs;unknown / no property;27;none;for free;2.Mar;skilled employee/official;0 to 2;no;yes;1
.greater than 200;10;no credits taken/all credits paid back duly;others;1546;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;31;none;rent;1;unskilled - resident;3 or more;no;yes;1
.greater than 200;24;all credits at this bank paid back duly;others;1287;from 500 to 1000;greater than 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;37;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;10;no credits taken/all credits paid back duly;others;1418;less than 100;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;35;none;for free;1;unskilled - resident;0 to 2;no;yes;1
from 0 to 200;6;all credits at this bank paid back duly;others;1343;unknown/no savings account;greater than 7 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;unknown / no property;46;none;rent;2.Mar;skilled employee/official;3 or more;no;yes;1
.greater than 200;18;no credits taken/all credits paid back duly;others;2662;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;car or other;32;none;rent;1;skilled employee/official;0 to 2;no;yes;1
.greater than 200;18;all credits at this bank paid back duly;furniture/equipment;6070;unknown/no savings account;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;33;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;repairs;1927;greater than 1000;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;33;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;18;all credits at this bank paid back duly;furniture/equipment;2404;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;26;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;all credits at this bank paid back duly;furniture/equipment;1554;unknown/no savings account;from 4 to 7 yrs;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;24;none;for free;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;22;no credits taken/all credits paid back duly;others;1283;greater than 1000;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;car or other;25;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;existing credits paid back duly till now;others;717;greater than 1000;greater than 7 yrs;less than 20;female : single;none;greater than 7 yrs;building soc. savings agr./life insurance;54;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;24;no credits taken/all credits paid back duly;car (used);1747;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;co-applicant;less than 1 yr;car or other;24;none;rent;1;unskilled - resident;0 to 2;no;yes;1
no checking account;9;all credits at this bank paid back duly;domestic appliances;1288;less than 100;greater than 7 yrs;from 25 to 20;male : married/widowed;guarantor;greater than 7 yrs;unknown / no property;48;none;rent;2.Mar;skilled employee/official;3 or more;no;yes;1
no checking account;10;all credits at this bank paid back duly;others;1038;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;co-applicant;from 4 to 7 yrs;car or other;49;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;10;no credits taken/all credits paid back duly;car (new);2848;less than 100;from 1 to 4 yrs;greater than 35;male : married/widowed;co-applicant;from 1 to 4 yrs;unknown / no property;32;none;rent;1;skilled employee/official;3 or more;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;car (new);1413;from 500 to 1000;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;car or other;55;none;rent;1;skilled employee/official;0 to 2;no;yes;1
.greater than 200;30;all credits at this bank paid back duly;furniture/equipment;3077;greater than 1000;greater than 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;40;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
no checking account;24;critical account/other credits elsewhere;car (new);3632;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;guarantor;greater than 7 yrs;building soc. savings agr./life insurance;22;bank;for free;1;skilled employee/official;0 to 2;no;yes;1
.greater than 200;18;all credits at this bank paid back duly;car (new);3229;greater than 1000;unemployed;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;38;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;9;no credits taken/all credits paid back duly;others;3577;less than 100;from 1 to 4 yrs;greater than 35;male : married/widowed;guarantor;from 1 to 4 yrs;unknown / no property;26;none;for free;1;skilled employee/official;3 or more;no;yes;1
.greater than 200;12;all credits at this bank paid back duly;others;682;less than 100;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;51;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;10;no credits taken/all credits paid back duly;furniture/equipment;1924;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;car or other;38;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);yes;1
.greater than 200;10;no credits taken/all credits paid back duly;repairs;727;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;46;none;own;1;skilled employee/official;0 to 2;yes (under customer name);no;1
from 0 to 200;10;all credits at this bank paid back duly;others;781;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;63;none;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;12;all credits at this bank paid back duly;others;2121;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;30;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;repairs;701;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;32;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;10;all credits at this bank paid back duly;car (used);2069;greater than 1000;from 1 to 4 yrs;from 35 to 25;female : single;none;less than 1 yr;building soc. savings agr./life insurance;26;none;rent;2.Mar;skilled employee/official;0 to 2;no;yes;1
.greater than 200;24;no credits taken/all credits paid back duly;others;1525;from 500 to 1000;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;34;none;rent;1;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;48;all credits at this bank paid back duly;retraining;7629;greater than 1000;greater than 7 yrs;less than 20;male : divorced/separated;none;from 1 to 4 yrs;building soc. savings agr./life insurance;46;bank;rent;2.Mar;manager/self-empl./highly qualif. employee;3 or more;no;no;1
no checking account;12;all credits at this bank paid back duly;others;3499;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;co-applicant;from 1 to 4 yrs;unknown / no property;29;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
.greater than 200;6;no credits taken/all credits paid back duly;furniture/equipment;1346;less than 100;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;42;bank;own;1;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;36;all credits at this bank paid back duly;car (new);10477;greater than 1000;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;42;none;own;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;24;no credits taken/all credits paid back duly;car (new);2924;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;guarantor;greater than 7 yrs;real estate;63;bank;rent;1;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;10;all credits at this bank paid back duly;others;1231;unknown/no savings account;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;32;none;rent;2.Mar;unskilled - resident;3 or more;no;yes;1
from 0 to 200;18;no credits taken/all credits paid back duly;others;1961;unknown/no savings account;greater than 7 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;23;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;1
.greater than 200;15;all credits at this bank paid back duly;others;5045;greater than 1000;greater than 7 yrs;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;59;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;others;1255;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;61;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
no checking account;12;no credits taken/all credits paid back duly;car (used);1858;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;22;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;all credits at this bank paid back duly;car (used);1221;greater than 1000;from 1 to 4 yrs;greater than 35;female : single;none;from 1 to 4 yrs;car or other;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;9;no credits taken/all credits paid back duly;car (used);1388;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;26;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;furniture/equipment;2279;greater than 1000;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;37;none;own;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;delay in paying off in the past;car (used);2759;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;34;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
from 0 to 200;24;no credits taken/all credits paid back duly;furniture/equipment;1258;from 100 to 500;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;57;none;rent;1;unskilled - resident;0 to 2;no;no;1
less than 0;12;delay in paying off in the past;vacation;1410;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;31;none;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;1
no checking account;15;no credits taken/all credits paid back duly;others;1403;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;for free;1;skilled employee/official;0 to 2;no;no;1
no checking account;24;no credits taken/all credits paid back duly;car (used);3021;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : divorced/separated;none;from 1 to 4 yrs;unknown / no property;24;none;for free;1;unskilled - resident;0 to 2;no;no;1
no checking account;24;no credits taken/all credits paid back duly;retraining;6568;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;21;stores;rent;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;24;all credits at this bank paid back duly;furniture/equipment;2578;from 500 to 1000;greater than 7 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;34;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;all credits at this bank paid back duly;car (new);7758;from 500 to 1000;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;real estate;29;none;for free;1;skilled employee/official;0 to 2;no;no;1
no checking account;6;no credits taken/all credits paid back duly;radio/television;343;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;27;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;21;existing credits paid back duly till now;car (used);1591;less than 100;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;34;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;no;no;1
no checking account;27;no credits taken/all credits paid back duly;furniture/equipment;3416;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;27;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;1
no checking account;12;delay in paying off in the past;domestic appliances;1108;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;28;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
less than 0;27;existing credits paid back duly till now;car (new);5965;unknown/no savings account;greater than 7 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;30;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;15;no credits taken/all credits paid back duly;domestic appliances;1514;less than 100;from 1 to 4 yrs;less than 20;male : married/widowed;guarantor;from 1 to 4 yrs;unknown / no property;22;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;30;all credits at this bank paid back duly;furniture/equipment;6742;greater than 1000;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;car or other;36;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;18;no credits taken/all credits paid back duly;car (used);3650;unknown/no savings account;less than 1 yr;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;22;none;for free;1;skilled employee/official;0 to 2;no;no;1
no checking account;21;no credits taken/all credits paid back duly;car (used);3599;unknown/no savings account;from 4 to 7 yrs;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;26;none;for free;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;60;all credits at this bank paid back duly;others;13756;greater than 1000;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;63;bank;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;9;no credits taken/all credits paid back duly;others;276;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;none;greater than 7 yrs;unknown / no property;22;none;for free;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;42;all credits at this bank paid back duly;car (used);4041;from 100 to 500;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;36;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
